lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
soplex_217B,161406.0,162616.0,159396.0,163441.0,160520.0,159314.0,163969.0,162812.0,158088.0,153122.0,162613.0,162292.0,151415.0,154845.0,162664.0,162864.0,162864.0,163049.0,162937.0,162616.0,162616.0,162616.0,164531.0,150698.0,150181.0,154121.0,155097.0,150195.0,149567.0,150739.0,153126.0,153374.0,163897.0,155046.0,154174.0,152126.0,160682.0,155008.0,154977.0,159942.0,155307.0,142722.0
milc_409B,125084.0,129156.0,129133.0,129133.0,129168.0,129133.0,129133.0,129133.0,129133.0,128254.0,129133.0,129133.0,128823.0,128965.0,129152.0,129156.0,129156.0,129156.0,129156.0,129156.0,129156.0,129156.0,128888.0,127907.0,127880.0,127907.0,127907.0,128036.0,127989.0,127910.0,126809.0,128061.0,127433.0,125259.0,127064.0,128205.0,127751.0,125579.0,125259.0,125259.0,125259.0,125263.0
calculix_2670B,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
sphinx3_2520B,17496.0,10251.0,10509.0,10515.0,10340.0,10433.0,10441.0,10428.0,10519.0,10275.0,10251.0,10251.0,10254.0,10251.0,10251.0,10256.0,10256.0,10251.0,10251.0,10251.0,10251.0,10251.0,17857.0,16800.0,16800.0,16800.0,16800.0,16800.0,16800.0,16800.0,16800.0,9814.0,9723.0,16800.0,16800.0,9783.0,9653.0,16800.0,16800.0,16800.0,16800.0,10453.0
GemsFDTD_109B,11260.0,9883.0,9965.0,9973.0,9914.0,9956.0,9907.0,9887.0,10053.0,10528.0,9891.0,9891.0,10070.0,9836.0,9841.0,9883.0,9883.0,9883.0,9883.0,9883.0,9883.0,9883.0,11247.0,10631.0,10862.0,10590.0,11025.0,10792.0,10509.0,10474.0,10380.0,10913.0,10999.0,11245.0,10231.0,10920.0,10983.0,11234.0,11243.0,11245.0,11234.0,9487.0
bzip2_281B,9924.0,15873.0,15864.0,15978.0,15909.0,15876.0,15839.0,15999.0,15513.0,16188.0,15873.0,15873.0,16405.0,15884.0,15873.0,15873.0,15873.0,15873.0,15873.0,15873.0,15873.0,15873.0,13030.0,8844.0,8844.0,8844.0,8844.0,8844.0,8844.0,8844.0,8844.0,9164.0,9852.0,8844.0,8844.0,9136.0,9576.0,8844.0,8844.0,8844.0,8844.0,10645.0
zeusmp_300B,546.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,787.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,540.0,1103.0,545.0,545.0,545.0,1038.0,545.0,545.0,545.0,545.0,715.0
mcf_250B,298907.0,312022.0,313828.0,312252.0,316150.0,311353.0,309421.0,310893.0,313996.0,307193.0,312447.0,312932.0,305265.0,310890.0,311272.0,312215.0,312046.0,312022.0,312022.0,312022.0,312022.0,312022.0,303388.0,295714.0,334160.0,279466.0,279200.0,330130.0,337597.0,339631.0,295729.0,302523.0,399522.0,286184.0,297166.0,296176.0,392818.0,291224.0,279343.0,279344.0,279343.0,173044.0
bzip2_259B,142.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,185.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,157.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,143.0
leslie3d_1116B,11806.0,11577.0,11670.0,11670.0,11620.0,11673.0,11670.0,11660.0,11678.0,11516.0,11577.0,11577.0,11496.0,11581.0,11577.0,11577.0,11577.0,11577.0,11577.0,11577.0,11577.0,11577.0,11663.0,11095.0,10971.0,11755.0,11627.0,11062.0,11098.0,11108.0,11798.0,10893.0,11059.0,11785.0,11766.0,10887.0,10946.0,11785.0,11794.0,11791.0,11802.0,11064.0
