lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
soplex_217B,0.0,60497.0,55911.0,58764.0,56280.0,53818.0,60108.0,58286.0,56115.0,49407.0,59272.0,58926.0,50241.0,48263.0,61477.0,61658.0,61658.0,61172.0,60905.0,60497.0,60497.0,60497.0,104895.0,20214.0,27948.0,1184.0,1129.0,21139.0,19437.0,19093.0,10661.0,71535.0,128262.0,433.0,10252.0,62789.0,116751.0,430.0,2550.0,47350.0,10775.0,53718.0
milc_409B,0.0,28020.0,758.0,14003.0,15961.0,13095.0,15015.0,15015.0,758.0,145501.0,22393.0,18224.0,128105.0,96980.0,66475.0,28020.0,28020.0,28020.0,28020.0,28020.0,28020.0,28020.0,177256.0,93539.0,97271.0,93539.0,93539.0,96524.0,93131.0,93032.0,55519.0,107456.0,113303.0,0.0,66400.0,104887.0,110804.0,29025.0,0.0,0.0,0.0,150734.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphinx3_2520B,5.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,8790.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,202.0,87.0,4.0,4.0,48.0,112.0,4.0,4.0,4.0,4.0,86.0
GemsFDTD_109B,3.0,131199.0,130773.0,130772.0,130773.0,130772.0,130773.0,130774.0,130773.0,134417.0,130772.0,130772.0,134089.0,133394.0,132251.0,131199.0,131199.0,131199.0,131199.0,131199.0,131199.0,131199.0,134963.0,108457.0,112635.0,71363.0,54560.0,110609.0,108194.0,107655.0,63298.0,129027.0,134645.0,3.0,75539.0,126338.0,132040.0,15908.0,3.0,3.0,18334.0,127913.0
bzip2_281B,1.0,1066.0,1066.0,1063.0,1067.0,1065.0,1065.0,1067.0,1061.0,3429.0,1066.0,1066.0,1062.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,1066.0,3943.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,315.0,7776.0,317.0,317.0,312.0,379.0,317.0,317.0,317.0,317.0,2252.0
zeusmp_300B,0.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,10535.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2284.0,3.0,3.0,3.0,1949.0,3.0,3.0,3.0,3.0,2569.0
mcf_250B,0.0,13425.0,10286.0,14907.0,9656.0,13098.0,14741.0,13069.0,5446.0,21986.0,13375.0,13606.0,21963.0,13714.0,13439.0,13444.0,13423.0,13425.0,13425.0,13425.0,13425.0,13425.0,22713.0,5659.0,17221.0,54.0,344.0,15988.0,14928.0,14975.0,3532.0,22313.0,29576.0,48.0,4169.0,21117.0,29247.0,47.0,54.0,54.0,56.0,16790.0
bzip2_259B,2.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,21309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,8724.0,0.0,0.0,0.0,3385.0,0.0,0.0,0.0,0.0,1522.0
leslie3d_1116B,83.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,19773.0,67.0,67.0,14569.0,4949.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,26343.0,15729.0,16676.0,325.0,15026.0,16096.0,15592.0,15135.0,63.0,21827.0,24874.0,63.0,3611.0,21612.0,24453.0,63.0,62.0,62.0,65.0,20737.0
cactusADM_1495B,41.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,4222.0,21.0,21.0,389.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,29280.0,779.0,851.0,394.0,80.0,821.0,648.0,736.0,46.0,5067.0,12840.0,46.0,46.0,3660.0,11743.0,46.0,46.0,82.0,47.0,10048.0
astar_23B,0.0,5836.0,5845.0,5950.0,5898.0,5884.0,6116.0,5924.0,5881.0,7140.0,5834.0,5831.0,6332.0,6027.0,5982.0,5836.0,5836.0,5836.0,5836.0,5836.0,5836.0,5836.0,414.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,1661.0,5217.0,254.0,254.0,1129.0,2987.0,254.0,254.0,254.0,254.0,1144.0
soplex_205B,0.0,54256.0,53973.0,53154.0,52036.0,52683.0,52418.0,55065.0,46056.0,60570.0,53487.0,53035.0,55984.0,43591.0,53088.0,53946.0,53946.0,54090.0,54256.0,54256.0,54256.0,54256.0,101435.0,38492.0,50738.0,16289.0,1057.0,48313.0,41257.0,42115.0,16223.0,66449.0,99525.0,174.0,25029.0,65578.0,90746.0,174.0,4791.0,29049.0,9619.0,74148.0
libquantum_964B,0.0,14256.0,13854.0,13854.0,15521.0,13854.0,13854.0,13854.0,13854.0,17885.0,13854.0,13854.0,17885.0,17885.0,16784.0,14256.0,14256.0,14256.0,14256.0,14256.0,14256.0,14256.0,17734.0,17800.0,17790.0,17800.0,0.0,17796.0,17801.0,17815.0,17664.0,17876.0,17869.0,17378.0,17782.0,17847.0,17819.0,17763.0,0.0,0.0,0.0,16807.0
lbm_564B,9.0,58015.0,65239.0,63208.0,65961.0,64459.0,70928.0,65660.0,62270.0,188228.0,46341.0,44954.0,159952.0,84467.0,72567.0,58015.0,58015.0,58015.0,58015.0,58015.0,58015.0,58015.0,186631.0,160593.0,163788.0,59178.0,110082.0,161105.0,156758.0,155032.0,31847.0,185701.0,198046.0,9.0,36629.0,183557.0,195287.0,10223.0,12448.0,7039.0,860.0,132855.0
soplex_66B,21.0,38226.0,26858.0,29151.0,37189.0,27850.0,31915.0,37803.0,25636.0,30037.0,38000.0,38000.0,35147.0,25692.0,34878.0,39108.0,39108.0,38988.0,38226.0,38226.0,38226.0,38226.0,82456.0,23862.0,26042.0,1533.0,431.0,24778.0,24761.0,26428.0,11967.0,43325.0,81570.0,100.0,12103.0,39928.0,71867.0,101.0,1564.0,25565.0,11438.0,24640.0
mcf_158B,1.0,7910.0,7329.0,7774.0,7308.0,7296.0,7630.0,7426.0,7241.0,28556.0,7953.0,7951.0,27799.0,14196.0,7507.0,7912.0,7912.0,7910.0,7910.0,7910.0,7910.0,7910.0,24516.0,26593.0,29024.0,43.0,260.0,26417.0,19771.0,28223.0,2686.0,35983.0,42196.0,85.0,3846.0,35625.0,41931.0,87.0,40.0,40.0,46.0,12359.0
GemsFDTD_712B,18.0,138234.0,135896.0,135903.0,137303.0,135890.0,135888.0,135894.0,135898.0,141044.0,137215.0,136020.0,140646.0,139972.0,139113.0,138234.0,138234.0,138234.0,138234.0,138234.0,138234.0,138234.0,143615.0,121487.0,124737.0,78476.0,3188.0,122820.0,120986.0,121095.0,85756.0,137623.0,142464.0,183.0,96975.0,135124.0,142386.0,45870.0,31.0,35.0,31.0,133329.0
wrf_1212B,0.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wrf_1650B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GemsFDTD_716B,19.0,15127.0,15215.0,15165.0,14892.0,15078.0,15144.0,15116.0,15230.0,14133.0,15127.0,15127.0,14111.0,14421.0,14966.0,15129.0,15129.0,15127.0,15127.0,15127.0,15127.0,15127.0,23066.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,5.0,8.0,8.0,9.0,7.0,1539.0
gcc_39B,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perlbench_135B,2.0,2071.0,2069.0,2071.0,2071.0,2069.0,2071.0,2069.0,2071.0,2072.0,2071.0,2071.0,2072.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2330.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,40.0,32.0,32.0,32.0,32.0,312.0
sphinx3_1339B,7.0,170.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,170.0,170.0,164.0,172.0,170.0,171.0,171.0,170.0,170.0,170.0,170.0,170.0,9606.0,60.0,7.0,58.0,5.0,60.0,62.0,62.0,4.0,263.0,302.0,4.0,4.0,289.0,204.0,4.0,4.0,4.0,4.0,429.0
