lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
lbm_1004B,228378.0,165808.0,180848.0,172042.0,168474.0,162497.0,175039.0,162340.0,175482.0,37872.0,180309.0,184783.0,69688.0,142017.0,152343.0,165808.0,165808.0,165808.0,165808.0,165808.0,165808.0,165808.0,37366.0,70620.0,68177.0,169155.0,118961.0,68691.0,73370.0,75374.0,197260.0,48757.0,39361.0,228394.0,191840.0,48385.0,41331.0,220414.0,216958.0,213662.0,226991.0,97690.0
soplex_217B,239187.0,178670.0,183234.0,180387.0,182879.0,185371.0,179060.0,180871.0,183042.0,189757.0,179897.0,180243.0,188912.0,190893.0,177676.0,177516.0,177516.0,177988.0,178257.0,178670.0,178670.0,178670.0,134287.0,218987.0,211225.0,237986.0,238077.0,218060.0,219765.0,220107.0,228515.0,167665.0,110914.0,238743.0,228928.0,176400.0,122442.0,238745.0,236652.0,191857.0,228429.0,185469.0
milc_409B,177259.0,149239.0,176501.0,163256.0,161298.0,164164.0,162244.0,162244.0,176501.0,31758.0,154866.0,159035.0,49154.0,80279.0,110784.0,149239.0,149239.0,149239.0,149239.0,149239.0,149239.0,149239.0,3.0,83720.0,79988.0,83720.0,83720.0,80735.0,84128.0,84227.0,121740.0,69803.0,63956.0,177259.0,110859.0,72372.0,66455.0,148234.0,177259.0,177259.0,177259.0,26525.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphinx3_2520B,13615.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,13473.0,4827.0,13615.0,13615.0,13615.0,13615.0,13615.0,13615.0,13615.0,13615.0,13419.0,13534.0,13615.0,13615.0,13573.0,13509.0,13615.0,13615.0,13615.0,13615.0,13532.0
GemsFDTD_109B,134971.0,3775.0,4201.0,4201.0,4201.0,4201.0,4201.0,4200.0,4201.0,557.0,4202.0,4202.0,884.0,1579.0,2723.0,3775.0,3775.0,3775.0,3775.0,3775.0,3775.0,3775.0,11.0,26516.0,22339.0,63610.0,80414.0,24365.0,26779.0,27318.0,71674.0,5947.0,329.0,134971.0,59435.0,8636.0,2934.0,119066.0,134971.0,134971.0,116640.0,7060.0
bzip2_281B,29077.0,27962.0,27975.0,27962.0,27966.0,27975.0,27972.0,27962.0,27980.0,25606.0,27962.0,27962.0,27970.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,25131.0,28760.0,28760.0,28760.0,28760.0,28760.0,28760.0,28760.0,28760.0,28763.0,21302.0,28760.0,28760.0,28765.0,28698.0,28760.0,28760.0,28760.0,28760.0,26828.0
zeusmp_300B,15922.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,15526.0,5389.0,15919.0,15919.0,15919.0,15919.0,15919.0,15919.0,15919.0,15919.0,15918.0,13637.0,15919.0,15919.0,15919.0,13973.0,15919.0,15919.0,15919.0,15919.0,13352.0
mcf_250B,53044.0,39648.0,42788.0,38167.0,43417.0,39975.0,38333.0,40005.0,47626.0,31085.0,39697.0,39467.0,31109.0,39358.0,39633.0,39628.0,39649.0,39648.0,39648.0,39648.0,39648.0,39648.0,30351.0,47382.0,35820.0,52987.0,52696.0,37053.0,38112.0,38065.0,49510.0,30730.0,23463.0,52992.0,48872.0,31927.0,23793.0,52993.0,52986.0,52986.0,52985.0,36254.0
bzip2_259B,21813.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,21648.0,506.0,21815.0,21815.0,21815.0,21815.0,21815.0,21815.0,21815.0,21815.0,21596.0,13091.0,21815.0,21815.0,21815.0,18430.0,21815.0,21815.0,21815.0,21815.0,20293.0
