lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,0.0,0.12843903411413726,0.1268747233737757,0.12757072340080478,0.13025674292259204,0.13153386918578125,0.12700986901009204,0.12743557776448866,0.12849984965047945,0.13623693732958975,0.128412004986874,0.128412004986874,0.12842551955050574,0.12868905354132232,0.12838497585961073,0.12834443216871572,0.12834443216871572,0.12843903411413726,0.12843903411413726,0.12843903411413726,0.12843903411413726,0.12843903411413726,0.06701196376745489,0.01058190332356923,0.09458505221689517,0.01058190332356923,0.01058190332356923,0.010720427600793503,0.01058190332356923,0.01058190332356923,0.01058190332356923,0.088770411214385,0.05385553607205962,0.01058190332356923,0.01058190332356923,0.09334509100369281,0.06776202204901072,0.01058190332356923,0.01058190332356923,0.01058190332356923,0.01058190332356923,0.1186612473266504
astar_163B,0.0,-0.0037617802252245536,-0.003649979064684561,-0.0037705489436982154,-0.0036170963704081904,-0.0036587477831583337,-0.0037179366328559116,-0.0035951745742238694,-0.0036806695793426547,-0.008332474729649486,-0.0037617802252245536,-0.0037617802252245536,-0.004316401668687075,-0.005476064686836146,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0037617802252245536,-0.0075717884020545245,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.00624551973290477,-0.013087312322022315,-0.0004208984867383192,-0.0004208984867383192,-0.0010938976295961078,-0.01001168431736621,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0004208984867383192,-0.0006949209390421096
gcc_13B,0.0,0.02021275405765155,0.01579063151340243,0.015141854681446798,0.03293101712547131,0.018288795176679695,0.022237385205650995,0.021830967535058088,0.017207500456753788,0.07455340663765808,0.016010619059870113,0.02829263563723683,0.04567538041066821,0.045570979541158074,0.03488853342878562,0.01790102051849951,0.01790102051849951,0.020018866728561235,0.020018866728561235,0.02021275405765155,0.02021275405765155,0.02021275405765155,0.029772890822790554,0.034478387155710166,0.034351614671304986,-0.004011976271173889,-0.009783852914089342,0.03771481411052324,0.03753956979384543,0.037808029172585744,0.0026286647501647664,0.05283802577955754,0.07126850785057237,-0.0020768315827546235,0.004254335432536616,0.04704004891926439,0.06720433114464353,-0.00030574540356542723,-0.010749560957057813,0.0005704761798228652,0.0028523808991149924,0.03406451228015217
omnetpp_340B,0.0,0.009794227424618551,0.010798663357630023,0.00846540167666543,0.00828171105856601,0.009970101420671007,0.010102983995466275,0.009633986672659356,0.00884450784593449,-0.0007386707834209361,0.00979031911359507,0.00979031911359507,0.006784827936607174,0.008973482109706055,0.00993492662146056,0.009841127156898999,0.009841127156898999,0.010122525550583239,0.009794227424618551,0.009794227424618551,0.009794227424618551,0.009794227424618551,-0.03980223946221639,-0.007718914271197752,-0.013014675707892831,-0.007414066011373066,-0.00548726867684135,-0.010325757723799844,-0.013065483751196871,-0.011529517519004218,-0.0026928262951165793,-0.015582436050260995,-0.026947804506282647,-0.0060617903972799425,-0.0031031989525727166,-0.013366423699998187,-0.026029351415785662,-0.0060617903972799425,-0.007038868153127598,-0.005577159830379319,-0.007922146444414024,-0.004666523361929298
leslie3d_94B,0.0,0.0388863356312652,0.03919405868052084,0.03915009824491289,0.03895560662070796,0.03904219535751152,0.03913544476637698,0.039114130615779175,0.038488027441969,0.032902387850934245,0.038899656975388774,0.038899656975388774,0.0380697372364871,0.03879708262563697,0.038551969893762195,0.03881706464182244,0.03881706464182244,0.03897558863689343,0.0388863356312652,0.0388863356312652,0.0388863356312652,0.0388863356312652,0.007808971925267194,0.06095713857528229,0.05989276317980474,0.04718020448263238,0.023143171145968644,0.06053351983215105,0.055800446265028114,0.054873280714023975,0.02428481033736296,0.05972358210943485,0.0524621174276485,0.022222666267026403,0.02904053018949626,0.06012588670196828,0.05644653145502376,0.022222666267026403,0.02208146001931599,0.021619209378226367,0.025786125820095318,0.03901022413161481
wrf_1228B,0.0,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.10478585381296468,0.10482179713863471,0.13534459281050526,0.10482179713863471,0.10482179713863471,0.10686503695941574,0.10482179713863471,0.10482179713863471,0.10438494748818372,0.10438494748818372,0.10508031259633843,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.10482179713863471,0.07424370404265646,0.00045205644208068385,0.003478207976376879,-0.000407818502794699,0.0011253025805926242,0.0034201456810638575,0.0010354442664175512,-0.0008985831417508416,0.001556622488632975,0.026051998932759668,0.0645832440510341,0.0015856536362894857,-0.0014335857199933022,0.03825890530454368,0.04803963719360027,0.0015856536362894857,9.677049218859146e-05,-0.0016478632384108183,0.0014391154624038283,0.03614792613923057
milc_744B,0.0,-0.0029076954196071148,0.001797995235312655,-0.0006616060592439243,-0.003400739425540533,0.00023177282330189009,-0.0028543174360587953,0.0015971254551176983,0.001797995235312655,-0.006285959904706262,-0.0018724434755248431,-0.0013765901020361682,-0.005486694835258654,-0.005006292983323557,-0.0032574616802264478,-0.0029076954196071148,-0.0029076954196071148,-0.0029076954196071148,-0.0029076954196071148,-0.0029076954196071148,-0.0029076954196071148,-0.0029076954196071148,-0.007772115341394326,0.00020086978019517865,0.002553715107654897,9.832786443109143e-05,0.00020086978019517865,0.0012164561513912098,0.00020086978019517865,0.00020086978019517865,9.832786443109143e-05,0.0013063559131567537,-0.0034653548793095457,9.832786443109143e-05,9.832786443109143e-05,0.002716658425855112,-0.0022868251899131886,9.832786443109143e-05,9.832786443109143e-05,9.832786443109143e-05,9.832786443109143e-05,0.0011743156380636943
bzip2_183B,0.0,-0.03890794068563874,-0.03898077142824863,-0.03899835126267159,-0.03901216398971841,-0.038935566139732036,-0.039043556551188074,-0.03909001754216346,-0.039142757045432686,-0.04444809993382448,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03890794068563874,-0.03221630228274153,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,-0.010139797354737246,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,-0.006316183367718775,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,0.0012293327071564164,-0.01567493379308793
libquantum_1210B,0.0,0.047443403590944566,0.046415560759823116,0.046415560759823116,0.047048746638910455,0.046415560759823116,0.046415560759823116,0.046415560759823116,0.046415560759823116,0.05224000346951163,0.046415560759823116,0.046415560759823116,0.05169789227166266,0.050433688958279044,0.04958582704484327,0.047443403590944566,0.047443403590944566,0.047443403590944566,0.047443403590944566,0.047443403590944566,0.047443403590944566,0.047443403590944566,0.052992453812125806,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,0.023774828692861405,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,-0.0001517911353977608,0.012225691733888322
milc_360B,0.0,0.0022325775252722835,0.011234630745001084,0.011887151490719505,0.00899009603328893,0.002247951050694974,0.011690711999207348,0.011197051016190063,0.002020764508337658,0.002241118372729334,0.0023401922032311173,0.0025690869150800655,0.002241118372729334,0.0022838226100148074,0.0021181301693480314,0.0021420445422275503,0.0022325775252722835,0.0022325775252722835,0.0022325775252722835,0.0022325775252722835,0.0022325775252722835,0.0022325775252722835,0.010329300914553974,3.416338982820122e-06,0.0011051856609418653,0.0004987854914915157,-0.002386312779499189,0.001065897762639434,0.0003757972881102134,0.00017764962710664634,-9.394932202755335e-05,0.0012845434575399217,0.0009446177287495416,-0.00036384010167023195,0.0002955133220137185,0.0017167103388666671,0.00123842288127185,6.320227118217225e-05,-9.736566101026245e-05,-9.736566101026245e-05,0.0005944429830104792,0.0029346351862418185
