lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
lbm_1004B,38239.0,40896.0,40811.0,40815.0,41005.0,40863.0,40909.0,40807.0,40827.0,40654.0,40961.0,40914.0,40463.0,40451.0,40717.0,40896.0,40896.0,40896.0,40896.0,40896.0,40896.0,40896.0,39939.0,39105.0,39645.0,38668.0,38759.0,39579.0,40093.0,39944.0,38426.0,39574.0,39877.0,38235.0,38427.0,39515.0,39743.0,38233.0,38292.0,38261.0,38261.0,38265.0
soplex_217B,267909.0,264194.0,261519.0,265565.0,264041.0,260561.0,267055.0,266489.0,260290.0,253114.0,264382.0,264056.0,249030.0,253474.0,264455.0,264751.0,264751.0,264755.0,264663.0,264194.0,264194.0,264194.0,268152.0,238292.0,238790.0,250557.0,251077.0,237797.0,237217.0,239014.0,248478.0,247848.0,263295.0,251540.0,250053.0,244568.0,259447.0,251526.0,247923.0,255403.0,250977.0,232764.0
milc_409B,162824.0,165994.0,166035.0,166035.0,166031.0,166035.0,166035.0,166035.0,166035.0,157885.0,166035.0,166035.0,165704.0,166026.0,166099.0,165994.0,165994.0,165994.0,165994.0,165994.0,165994.0,165994.0,167572.0,165748.0,165988.0,165748.0,165748.0,165628.0,165763.0,165748.0,164517.0,165159.0,158046.0,162775.0,164769.0,165818.0,161335.0,163405.0,162775.0,162775.0,162775.0,162018.0
calculix_2670B,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0
sphinx3_2520B,105020.0,110318.0,110275.0,110275.0,110305.0,110275.0,110275.0,110275.0,110275.0,111016.0,110318.0,110318.0,110391.0,110318.0,110318.0,110321.0,110321.0,110318.0,110318.0,110318.0,110318.0,110318.0,77932.0,104236.0,104236.0,104236.0,104236.0,104236.0,104236.0,104236.0,104236.0,68114.0,70127.0,104236.0,104236.0,67941.0,68105.0,104236.0,104236.0,104236.0,104236.0,74051.0
GemsFDTD_109B,245861.0,245987.0,245994.0,246000.0,245996.0,245994.0,245984.0,245991.0,245992.0,245992.0,245995.0,245995.0,245999.0,245993.0,245997.0,245987.0,245987.0,245987.0,245987.0,245987.0,245987.0,245987.0,243842.0,235737.0,239594.0,235826.0,242154.0,238455.0,233361.0,232762.0,231175.0,240354.0,241612.0,245729.0,228609.0,240171.0,241268.0,245527.0,245732.0,245729.0,245673.0,237094.0
bzip2_281B,13739.0,50143.0,49949.0,50324.0,50147.0,50158.0,49757.0,50553.0,48239.0,51704.0,50143.0,50143.0,49873.0,50138.0,50143.0,50145.0,50145.0,50143.0,50143.0,50143.0,50143.0,50143.0,22889.0,11747.0,11747.0,11747.0,11747.0,11747.0,11747.0,11747.0,11747.0,12136.0,13310.0,11747.0,11747.0,12079.0,12265.0,11747.0,11747.0,11747.0,11747.0,16438.0
zeusmp_300B,19097.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21785.0,21915.0,19087.0,19087.0,19087.0,19087.0,19087.0,19087.0,19087.0,19087.0,19085.0,19964.0,19087.0,19087.0,19087.0,19898.0,19087.0,19087.0,19087.0,19087.0,19836.0
mcf_250B,833506.0,1207742.0,1201455.0,1221704.0,1200840.0,1219451.0,1186503.0,1208593.0,1202725.0,1185454.0,1213921.0,1196592.0,1171981.0,1191684.0,1196956.0,1208439.0,1207770.0,1207742.0,1207742.0,1207742.0,1207742.0,1207742.0,1156981.0,807670.0,801039.0,816777.0,816669.0,797424.0,757733.0,759318.0,807030.0,808659.0,893589.0,812744.0,806141.0,806302.0,888431.0,809228.0,816682.0,816680.0,816683.0,1125477.0
bzip2_259B,3342.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,4227.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,4126.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0
