lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
soplex_217B,77040.0,74973.0,77763.0,74099.0,76820.0,78057.0,73581.0,74610.0,79133.0,83831.0,74872.0,75151.0,85404.0,82188.0,74951.0,74620.0,74620.0,74533.0,74642.0,74973.0,74973.0,74973.0,71807.0,86435.0,86995.0,83684.0,82535.0,86918.0,87510.0,86481.0,84253.0,84032.0,73986.0,82935.0,83220.0,85036.0,77025.0,82970.0,82811.0,77995.0,82508.0,93976.0
milc_409B,4109.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,34.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,55.0,1222.0,1129.0,1222.0,1222.0,1194.0,1096.0,1153.0,2357.0,746.0,646.0,4107.0,2038.0,802.0,700.0,3625.0,4107.0,4107.0,4107.0,4024.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphinx3_2520B,3630.0,10885.0,10626.0,10619.0,10795.0,10702.0,10693.0,10706.0,10615.0,10857.0,10885.0,10885.0,10884.0,10885.0,10885.0,10880.0,10880.0,10885.0,10885.0,10885.0,10885.0,10885.0,3264.0,4324.0,4324.0,4324.0,4324.0,4324.0,4324.0,4324.0,4324.0,11307.0,11401.0,4324.0,4324.0,11339.0,11470.0,4324.0,4324.0,4324.0,4324.0,10670.0
GemsFDTD_109B,8.0,1370.0,1285.0,1274.0,1335.0,1291.0,1350.0,1363.0,1198.0,732.0,1358.0,1358.0,1182.0,1418.0,1408.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,1370.0,11.0,619.0,390.0,657.0,225.0,458.0,740.0,771.0,862.0,341.0,266.0,8.0,1011.0,342.0,283.0,20.0,8.0,8.0,11.0,1764.0
bzip2_281B,89186.0,83414.0,83348.0,83267.0,83344.0,83436.0,83465.0,83313.0,83851.0,83033.0,83414.0,83414.0,82861.0,83403.0,83414.0,83414.0,83414.0,83414.0,83414.0,83414.0,83414.0,83414.0,86290.0,90309.0,90309.0,90309.0,90309.0,90309.0,90309.0,90309.0,90309.0,89974.0,89275.0,90309.0,90309.0,90008.0,89563.0,90309.0,90309.0,90309.0,90309.0,88512.0
zeusmp_300B,2785.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,2533.0,2787.0,2787.0,2787.0,2787.0,2787.0,2787.0,2787.0,2787.0,2792.0,2170.0,2787.0,2787.0,2787.0,2232.0,2787.0,2787.0,2787.0,2787.0,2605.0
mcf_250B,839135.0,825847.0,824208.0,825731.0,821824.0,826614.0,828417.0,827089.0,824028.0,830759.0,825427.0,824973.0,832684.0,826987.0,826603.0,825659.0,825832.0,825847.0,825847.0,825847.0,825847.0,825847.0,834015.0,842226.0,803829.0,858466.0,858733.0,807827.0,800366.0,798387.0,842259.0,835434.0,738830.0,851756.0,840827.0,841826.0,745404.0,846753.0,858598.0,858598.0,858594.0,964447.0
bzip2_259B,75.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,32.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,59.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,74.0
leslie3d_1116B,158.0,306.0,215.0,215.0,278.0,214.0,215.0,228.0,215.0,461.0,306.0,306.0,429.0,325.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,140.0,507.0,583.0,181.0,238.0,526.0,504.0,501.0,176.0,598.0,540.0,180.0,181.0,612.0,586.0,180.0,173.0,176.0,169.0,416.0
