lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
lbm_1004B,239381.0,176355.0,191448.0,186965.0,178381.0,177178.0,184434.0,174925.0,188345.0,67684.0,187831.0,192250.0,106080.0,172977.0,172611.0,176355.0,176355.0,176355.0,176355.0,176355.0,176355.0,176355.0,55347.0,104107.0,101495.0,184141.0,141672.0,102160.0,107165.0,109870.0,210897.0,83137.0,72172.0,240303.0,205897.0,81192.0,74491.0,232437.0,229106.0,225787.0,238775.0,134083.0
soplex_217B,441609.0,387419.0,396146.0,386073.0,392630.0,398848.0,382800.0,386526.0,397564.0,414396.0,388021.0,389078.0,416832.0,412831.0,385754.0,385714.0,385714.0,386005.0,386479.0,387419.0,387419.0,387419.0,337868.0,458471.0,450910.0,463522.0,462998.0,458708.0,461513.0,458958.0,455965.0,397179.0,316815.0,463058.0,453691.0,410501.0,333956.0,463050.0,464461.0,406514.0,455093.0,443219.0
milc_409B,186029.0,150965.0,178227.0,164982.0,163024.0,165890.0,163970.0,163970.0,178227.0,41527.0,156592.0,160761.0,51237.0,82005.0,112510.0,150965.0,150965.0,150965.0,150965.0,150965.0,150965.0,150965.0,120.0,86637.0,82777.0,86637.0,86637.0,83618.0,86836.0,87015.0,126949.0,73039.0,74472.0,185879.0,115481.0,74904.0,73470.0,155904.0,185879.0,185879.0,185879.0,35851.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphinx3_2520B,34384.0,41334.0,41137.0,41128.0,41253.0,41202.0,41193.0,41204.0,41127.0,40668.0,41334.0,41334.0,41268.0,41334.0,41334.0,41326.0,41326.0,41334.0,41334.0,41334.0,41334.0,41334.0,51989.0,38641.0,38641.0,38641.0,38641.0,38641.0,38641.0,38641.0,38641.0,84307.0,82655.0,38641.0,38641.0,84693.0,84692.0,38641.0,38641.0,38641.0,38641.0,77979.0
GemsFDTD_109B,135102.0,5155.0,5496.0,5485.0,5546.0,5501.0,5561.0,5572.0,5408.0,1294.0,5570.0,5570.0,2072.0,3007.0,4141.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,2170.0,37392.0,29131.0,74439.0,84482.0,32368.0,40154.0,41329.0,87362.0,11935.0,4973.0,135245.0,77846.0,14792.0,7942.0,119548.0,135246.0,135245.0,116980.0,17734.0
bzip2_281B,233563.0,189506.0,189695.0,189123.0,189326.0,189584.0,190060.0,188964.0,191874.0,184911.0,189506.0,189506.0,189297.0,189499.0,189506.0,189503.0,189503.0,189506.0,189506.0,189506.0,189506.0,189506.0,216766.0,235902.0,235902.0,235902.0,235902.0,235902.0,235902.0,235902.0,235902.0,235164.0,225993.0,235902.0,235902.0,235256.0,234558.0,235902.0,235902.0,235902.0,235902.0,227955.0
zeusmp_300B,33957.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,28025.0,19247.0,33965.0,33965.0,33965.0,33965.0,33965.0,33965.0,33965.0,33965.0,33972.0,30244.0,33965.0,33965.0,33965.0,30711.0,33965.0,33965.0,33965.0,33965.0,30339.0
mcf_250B,1491460.0,1090273.0,1097972.0,1074638.0,1096862.0,1079588.0,1112819.0,1090995.0,1101399.0,1108830.0,1083710.0,1100360.0,1124359.0,1107175.0,1101812.0,1089357.0,1090227.0,1090273.0,1090273.0,1090273.0,1090273.0,1090273.0,1139923.0,1514780.0,1471268.0,1527451.0,1527528.0,1480137.0,1513489.0,1509918.0,1517534.0,1490211.0,1301469.0,1524802.0,1516279.0,1500187.0,1313617.0,1523292.0,1527671.0,1527673.0,1527670.0,1307135.0
bzip2_259B,22824.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,22624.0,589.0,22826.0,22826.0,22826.0,22826.0,22826.0,22826.0,22826.0,22826.0,22607.0,13303.0,22826.0,22826.0,22826.0,19441.0,22826.0,22826.0,22826.0,22826.0,21303.0
leslie3d_1116B,27586.0,27580.0,27487.0,27487.0,27550.0,27487.0,27487.0,27501.0,27487.0,7817.0,27580.0,27580.0,13169.0,22713.0,27580.0,27580.0,27580.0,27580.0,27580.0,27580.0,27580.0,27580.0,10242.0,30252.0,33171.0,28695.0,15844.0,30798.0,30282.0,30391.0,28294.0,28093.0,20975.0,28306.0,25101.0,28952.0,23731.0,28306.0,28321.0,28330.0,28289.0,29107.0
cactusADM_1495B,33263.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,30581.0,34739.0,34739.0,34372.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,34739.0,5090.0,32466.0,32463.0,32789.0,32980.0,32493.0,32514.0,32468.0,33010.0,28907.0,23754.0,33010.0,33010.0,30342.0,24206.0,33010.0,33050.0,33066.0,33098.0,25383.0
astar_23B,463671.0,406269.0,406555.0,406178.0,406453.0,406487.0,405564.0,406448.0,404954.0,403686.0,406760.0,406642.0,405418.0,405830.0,405756.0,406269.0,406269.0,406269.0,406269.0,406269.0,406269.0,406269.0,462391.0,463495.0,463495.0,463495.0,463495.0,463495.0,463495.0,463495.0,463495.0,461222.0,454850.0,463495.0,463495.0,461897.0,459305.0,463495.0,463495.0,463495.0,463495.0,460053.0
soplex_205B,446731.0,379889.0,383300.0,379264.0,384452.0,384431.0,383263.0,378362.0,386364.0,378380.0,381835.0,382211.0,385243.0,392056.0,381687.0,380261.0,380261.0,380150.0,379889.0,379889.0,379889.0,379889.0,317543.0,427498.0,414309.0,443308.0,454775.0,417217.0,424028.0,422001.0,436833.0,400047.0,354957.0,458255.0,429205.0,400231.0,362323.0,458255.0,453941.0,429198.0,449916.0,389239.0
libquantum_964B,17890.0,3634.0,4036.0,4036.0,2369.0,4036.0,4036.0,4036.0,4036.0,5.0,4036.0,4036.0,5.0,5.0,1106.0,3634.0,3634.0,3634.0,3634.0,3634.0,3634.0,3634.0,156.0,90.0,100.0,90.0,17890.0,94.0,89.0,75.0,226.0,14.0,21.0,512.0,108.0,43.0,71.0,127.0,17890.0,17890.0,17890.0,1083.0
lbm_564B,236928.0,177212.0,172961.0,176341.0,175164.0,175316.0,169742.0,172889.0,180768.0,69193.0,186888.0,188181.0,102604.0,173225.0,172042.0,177212.0,177212.0,177212.0,177212.0,177212.0,177212.0,177212.0,58344.0,96560.0,93241.0,181161.0,139600.0,96211.0,101036.0,103098.0,206952.0,71229.0,54390.0,237570.0,202395.0,72452.0,58543.0,227665.0,225367.0,230515.0,236792.0,130779.0
soplex_66B,316095.0,289154.0,308240.0,303951.0,290468.0,304987.0,299547.0,288523.0,309581.0,310999.0,289663.0,289663.0,308325.0,313121.0,294767.0,287677.0,287677.0,287898.0,289154.0,289154.0,289154.0,289154.0,211859.0,308111.0,307015.0,322568.0,326949.0,308588.0,306811.0,303773.0,317252.0,296034.0,242890.0,324636.0,319497.0,300174.0,253262.0,324508.0,326523.0,292764.0,315945.0,324346.0
mcf_158B,1413970.0,1078113.0,1082830.0,1077874.0,1081597.0,1077697.0,1080213.0,1084540.0,1079961.0,1076303.0,1075678.0,1073165.0,1068179.0,1082243.0,1080772.0,1078304.0,1078304.0,1078113.0,1078113.0,1078113.0,1078113.0,1078113.0,1126850.0,1414158.0,1377538.0,1443197.0,1443170.0,1381541.0,1432660.0,1422433.0,1442202.0,1306218.0,1198585.0,1443322.0,1439353.0,1352494.0,1213863.0,1443820.0,1443337.0,1443338.0,1443328.0,1266336.0
GemsFDTD_712B,149082.0,9981.0,11680.0,11720.0,10967.0,12092.0,11922.0,12027.0,11596.0,5474.0,10984.0,12143.0,7632.0,8267.0,9123.0,9981.0,9981.0,9981.0,9981.0,9981.0,9981.0,9981.0,2496.0,70960.0,66623.0,91636.0,159146.0,70414.0,71184.0,71108.0,95127.0,15141.0,8294.0,149631.0,87834.0,22791.0,9614.0,123087.0,149780.0,151988.0,149780.0,24284.0
wrf_1212B,4377.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,3328.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,4375.0
wrf_1650B,3591.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,12.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0,3591.0
GemsFDTD_716B,339415.0,218624.0,218464.0,218492.0,218873.0,218629.0,218556.0,218592.0,218445.0,216487.0,218624.0,218624.0,216799.0,217841.0,218448.0,218562.0,218562.0,218624.0,218624.0,218624.0,218624.0,218624.0,204180.0,341196.0,340232.0,341515.0,341807.0,340248.0,339855.0,339134.0,341416.0,340687.0,340682.0,341877.0,341240.0,340986.0,340461.0,341877.0,340222.0,340221.0,340138.0,332755.0
gcc_39B,208.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,37.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0
perlbench_135B,76560.0,55971.0,55972.0,55971.0,55971.0,55972.0,55972.0,55973.0,55972.0,55969.0,55971.0,55971.0,55970.0,55971.0,55971.0,55971.0,55971.0,55971.0,55971.0,55971.0,55971.0,55971.0,60812.0,76822.0,76822.0,76822.0,76822.0,76822.0,76822.0,76822.0,76822.0,76822.0,76354.0,76822.0,76822.0,76822.0,76857.0,76822.0,76822.0,76822.0,76822.0,75910.0
sphinx3_1339B,28159.0,41321.0,41368.0,41353.0,41376.0,41335.0,41370.0,41377.0,41330.0,41267.0,41321.0,41321.0,41267.0,41364.0,41321.0,41317.0,41317.0,41324.0,41325.0,41321.0,41321.0,41321.0,48202.0,32509.0,32563.0,32221.0,32565.0,32509.0,32507.0,32507.0,32275.0,82249.0,84166.0,32275.0,32275.0,82409.0,83967.0,32275.0,32275.0,32275.0,32203.0,77325.0
astar_313B,566574.0,466274.0,463232.0,474007.0,470280.0,469231.0,459273.0,462983.0,476720.0,394263.0,461802.0,459843.0,450899.0,468685.0,467666.0,466514.0,466514.0,466274.0,466274.0,466274.0,466274.0,466274.0,409669.0,283497.0,296858.0,360055.0,283497.0,304226.0,269119.0,277700.0,573533.0,279598.0,262448.0,573574.0,573414.0,304347.0,285873.0,573574.0,573578.0,320662.0,573592.0,423174.0
cactusADM_1039B,32064.0,31279.0,31281.0,31281.0,31281.0,31281.0,31281.0,31281.0,31281.0,30449.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,31279.0,5155.0,32038.0,32025.0,32051.0,32050.0,32038.0,32045.0,32045.0,32051.0,27925.0,20768.0,32051.0,32051.0,31170.0,21889.0,32051.0,32050.0,32050.0,32114.0,25013.0
sphinx3_883B,31836.0,50022.0,49932.0,49939.0,49949.0,49938.0,49928.0,49934.0,49952.0,49302.0,50022.0,50022.0,49334.0,50022.0,50022.0,50018.0,50018.0,50022.0,50022.0,50022.0,50022.0,50022.0,48829.0,61603.0,61688.0,36594.0,55394.0,61580.0,61584.0,61453.0,36921.0,62743.0,67537.0,36921.0,36921.0,61862.0,66062.0,36921.0,37137.0,37215.0,36817.0,57044.0
perlbench_105B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leslie3d_1186B,76706.0,75189.0,76390.0,76374.0,76520.0,76380.0,76406.0,76406.0,76390.0,64347.0,76449.0,76449.0,71210.0,73544.0,74551.0,75177.0,75177.0,75189.0,75189.0,75189.0,75189.0,75189.0,68967.0,94420.0,93606.0,82036.0,95247.0,95194.0,94238.0,93675.0,87048.0,87593.0,79353.0,94326.0,82718.0,88753.0,89719.0,94326.0,94635.0,94550.0,80029.0,86170.0
omnetpp_17B,6026.0,117405.0,113485.0,118820.0,117264.0,118697.0,111815.0,108547.0,113935.0,113751.0,117405.0,117405.0,117450.0,117476.0,117405.0,117405.0,117405.0,117405.0,117405.0,117405.0,117405.0,117405.0,100093.0,155633.0,155865.0,7455.0,153168.0,156104.0,153794.0,153639.0,7504.0,125374.0,71637.0,7504.0,7504.0,145551.0,103159.0,7504.0,7504.0,7503.0,7504.0,137731.0
zeusmp_600B,9829.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,1773.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9004.0,6402.0,9820.0,9820.0,9822.0,7013.0,9820.0,9820.0,9820.0,9820.0,8758.0
gcc_56B,2156574.0,2140867.0,2140680.0,2141390.0,2141115.0,2140673.0,2140319.0,2140454.0,2140908.0,2139916.0,2141033.0,2141156.0,2140212.0,2140513.0,2140644.0,2140804.0,2140804.0,2140867.0,2140867.0,2140867.0,2140867.0,2140867.0,2156570.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156573.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156574.0,2156547.0
perlbench_53B,92694.0,70155.0,70157.0,70152.0,70153.0,70147.0,70149.0,70151.0,70147.0,69691.0,70155.0,70155.0,70145.0,70155.0,70155.0,70151.0,70151.0,70155.0,70155.0,70155.0,70155.0,70155.0,79036.0,93354.0,93354.0,93354.0,93354.0,93354.0,93354.0,93354.0,93354.0,93354.0,92468.0,93354.0,93354.0,93354.0,93140.0,93354.0,93354.0,93354.0,93354.0,92318.0
cactusADM_734B,31669.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,29701.0,31552.0,31552.0,31553.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,31552.0,3959.0,30852.0,30477.0,30860.0,30713.0,30839.0,30858.0,30911.0,31692.0,26517.0,20573.0,31692.0,31692.0,27726.0,21018.0,31692.0,31675.0,31738.0,30904.0,24110.0
lbm_94B,265688.0,197690.0,198074.0,201186.0,201370.0,199516.0,199331.0,196192.0,200199.0,59112.0,201552.0,209316.0,98369.0,196066.0,197648.0,197690.0,197690.0,197690.0,197690.0,197690.0,197690.0,197690.0,84788.0,101319.0,99762.0,194254.0,161860.0,101622.0,105610.0,105541.0,226053.0,80053.0,64666.0,266718.0,218625.0,81234.0,67030.0,251732.0,248663.0,240158.0,258533.0,163018.0
mcf_46B,884630.0,718195.0,711062.0,710768.0,695402.0,704809.0,714397.0,701044.0,712291.0,696681.0,711637.0,712554.0,679214.0,706441.0,712233.0,718061.0,718061.0,718195.0,718195.0,718195.0,718195.0,718195.0,745290.0,819249.0,800894.0,872587.0,872232.0,805215.0,827657.0,827463.0,893260.0,792354.0,680776.0,872686.0,894845.0,790765.0,695683.0,872316.0,872833.0,860354.0,872816.0,824584.0
calculix_3812B,114710.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,93440.0,94322.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,112393.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,114710.0,113232.0
libquantum_1735B,123588.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,5.0,10107.0,10107.0,80.0,4001.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,10107.0,247.0,608.0,475.0,608.0,123588.0,551.0,604.0,600.0,1377.0,108.0,128.0,54280.0,504.0,588.0,462.0,8152.0,123588.0,123588.0,123588.0,1500.0
